PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-DATA-02;Ensure IAM Access Analyzer is enabled to validate access policies and identify unintended access to resources used by AI workloads.;Identity and Data Security;Access Analysis;;accessanalyzer;Automated;FAIL;IAM Access Analyzer in account 735291151388 is not enabled.;arn:aws:accessanalyzer:ap-south-1:735291151388:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-GOV-03;Ensure security contact information is registered and current for AI workload incident response communication.;Governance and Compliance;Incident Response;;account;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::735291151388:root;account_maintain_current_contact_details;False;735291151388;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-GOV-03;Ensure security contact information is registered and current for AI workload incident response communication.;Governance and Compliance;Incident Response;;account;Automated;FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;arn:aws:iam::735291151388:root;account_maintain_different_contact_details_to_security_billing_and_operations;False;735291151388;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-GOV-03;Ensure security contact information is registered and current for AI workload incident response communication.;Governance and Compliance;Incident Response;;account;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::735291151388:root;account_security_contact_information_is_registered;False;735291151388;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-AI-01;Ensure Amazon Bedrock has at least one guardrail configured to provide content filtering, prompt injection defense, PII filtering, and topic restrictions for foundation model interactions.;AI Application Security;Content Filtering;;bedrock;Automated;FAIL;Bedrock has no guardrails configured in region ap-south-1.;arn:aws:bedrock:ap-south-1:735291151388:guardrails;bedrock_guardrails_configured;False;bedrock-guardrails;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-AI-05;Ensure Bedrock model invocation logging is enabled to maintain an immutable audit trail of all model interactions, enabling incident investigation and behavioral analysis.;AI Application Security;AI Audit Logging;;bedrock;Automated;FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:ap-south-1:735291151388:model-invocation-logging;bedrock_model_invocation_logging_enabled;False;model-invocation-logging;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-AI-07;Ensure Bedrock prompts are encrypted at rest with customer-managed KMS keys and Prompt Management is used for centralized prompt governance.;AI Application Security;Prompt Management;;bedrock;Automated;FAIL;No Bedrock Prompt Management prompts exist in region ap-south-1.;arn:aws:bedrock:ap-south-1:735291151388:prompt-management;bedrock_prompt_management_exists;False;prompt-management;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-DETECT-01;Ensure CloudTrail is enabled in all regions with multi-region logging, management event recording, log file validation, and CloudWatch integration for comprehensive AI workload audit trails.;Threat Detection and Monitoring;Audit Logging;;cloudtrail;Automated;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-DETECT-01;Ensure CloudTrail is enabled in all regions with multi-region logging, management event recording, log file validation, and CloudWatch integration for comprehensive AI workload audit trails.;Threat Detection and Monitoring;Audit Logging;;cloudtrail;Automated;FAIL;Trail cloudguardian-trail does not have insight selectors and it is logging.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_insights_exist;False;cloudguardian-trail;AWS-AI-Security-Framework;AWS AI Security Framework;
aws;Security compliance framework based on the AWS AI Security Framework blog post (2025). Organizes controls across three security layers (Infrastructure, Identity & Data, AI Application), three deployment phases (Foundational, Enhanced, Advanced), and three AI use cases (AI that Answers, AI that Connects, AI that Acts). Maps existing Prowler checks to AI workload security requirements and identifies gaps requiring new checks.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;AISF-INFRA-05;Ensure all data at rest is encrypted with AES-256 across AI workload storage including S3 buckets, EBS volumes, RDS instances, SageMaker notebooks, and Bedrock prompts using customer-managed KMS keys where possible.;Infrastructure Security;Encryption at Rest;;kms;Automated;FAIL;Single region trail cloudguardian-trail has encryption disabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_kms_encryption_enabled;False;cloudguardian-trail;AWS-AI-Security-Framework;AWS AI Security Framework;
