finding_id,query_title,retrieved_ref,framework,source_url,similarity,retrieval_mode,retrieved_text
FND-0300,RDS Instance Publicly Accessible,AWS-RDS-01,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.512,hybrid,"RDS instances should not be marked publicly accessible unless there is a documented business need. A publicly accessible database is reachable directly from the internet on its database port, exposing it to brute-force and exploitation attempts."
FND-0464,RDS Instance Publicly Accessible,AWS-RDS-01,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.517,hybrid,"RDS instances should not be marked publicly accessible unless there is a documented business need. A publicly accessible database is reachable directly from the internet on its database port, exposing it to brute-force and exploitation attempts."
FND-0061,IAM inline policy does not allow privilege escalation,AWS-IAM-02,AWS Well-Architected Framework — Security Pillar,https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html,0.352,hybrid,IAM roles and users should follow least privilege. Avoid attaching broad managed policies such as AdministratorAccess to service roles; scope permissions to only the specific actions and resources the workload actually requires.
FND-0315,SQL Server Firewall Allows All IPs,AZ-SQL-01,Microsoft Cloud Security Benchmark,https://learn.microsoft.com/en-us/security/benchmark/azure/,0.454,hybrid,"Azure SQL Database firewall rules should not allow unrestricted access. Firewall rules should be scoped to specific IP ranges, and Transparent Data Encryption should remain enabled for data at rest."
FND-0040,EC2 instance does not allow ingress from the Internet to TCP port 22 (SSH),AWS-EC2-03,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.452,hybrid,"Security groups should not permit SSH (port 22) from 0.0.0.0/0. Administrative access should be restricted to a bastion host, VPN CIDR range, or specific known IP addresses."
FND-0260,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,AZ-SQL-01,Microsoft Cloud Security Benchmark,https://learn.microsoft.com/en-us/security/benchmark/azure/,0.523,hybrid,"Azure SQL Database firewall rules should not allow unrestricted access. Firewall rules should be scoped to specific IP ranges, and Transparent Data Encryption should remain enabled for data at rest."
FND-0178,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,AZ-SQL-01,Microsoft Cloud Security Benchmark,https://learn.microsoft.com/en-us/security/benchmark/azure/,0.523,hybrid,"Azure SQL Database firewall rules should not allow unrestricted access. Firewall rules should be scoped to specific IP ranges, and Transparent Data Encryption should remain enabled for data at rest."
FND-0299,Security Group Allows MySQL (3306) from 0.0.0.0/0,AWS-EC2-03,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.389,hybrid,"Security groups should not permit SSH (port 22) from 0.0.0.0/0. Administrative access should be restricted to a bastion host, VPN CIDR range, or specific known IP addresses."
FND-0097,RDS instance is not publicly exposed to the Internet,AWS-RDS-01,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.521,hybrid,"RDS instances should not be marked publicly accessible unless there is a documented business need. A publicly accessible database is reachable directly from the internet on its database port, exposing it to brute-force and exploitation attempts."
FND-0052,Security group does not allow ingress from 0.0.0.0/0 or ::/0 to MySQL port 3306,AWS-EC2-03,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.405,hybrid,"Security groups should not permit SSH (port 22) from 0.0.0.0/0. Administrative access should be restricted to a bastion host, VPN CIDR range, or specific known IP addresses."
FND-0318,Storage Account Reachable From Any Network,AZ-STORAGE-01,Microsoft Cloud Security Benchmark,https://learn.microsoft.com/en-us/security/benchmark/azure/,0.339,hybrid,"Azure Storage accounts should have public blob access disabled at the account level (allowBlobPublicAccess=false). Individual containers should not be set to public unless explicitly required, since public containers are readable by anyone with the URL."
FND-0317,Storage Account Allows Public Blob Access,AZ-STORAGE-01,Microsoft Cloud Security Benchmark,https://learn.microsoft.com/en-us/security/benchmark/azure/,0.631,hybrid,"Azure Storage accounts should have public blob access disabled at the account level (allowBlobPublicAccess=false). Individual containers should not be set to public unless explicitly required, since public containers are readable by anyone with the URL."
FND-0051,Security group does not allow ingress from 0.0.0.0/0 or ::/0 to TCP port 22 (SSH),AWS-EC2-03,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.529,hybrid,"Security groups should not permit SSH (port 22) from 0.0.0.0/0. Administrative access should be restricted to a bastion host, VPN CIDR range, or specific known IP addresses."
FND-0167,Network security group restricts inbound HTTP (port 80) access from the Internet,AZ-NETWORK-01,Microsoft Cloud Security Benchmark,https://learn.microsoft.com/en-us/security/benchmark/azure/,0.347,hybrid,Network Security Groups should not allow inbound traffic from any source (0.0.0.0/0) on management ports such as RDP (3389) or SSH (22). Rules should be scoped to specific trusted ranges.
FND-0297,Security Group Allows SSH (22) from 0.0.0.0/0,AWS-EC2-03,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.5,hybrid,"Security groups should not permit SSH (port 22) from 0.0.0.0/0. Administrative access should be restricted to a bastion host, VPN CIDR range, or specific known IP addresses."
