finding_id,cloud_provider,title,severity,service,priority_band,priority_score,llm_model,llm_provider,rag_control_ref,rag_framework,rag_source_url,rag_similarity,retrieval_mode,llm_guidance,verify_method,verify_reason,verified,raw_detail
FND-0300,AWS,RDS Instance Publicly Accessible,critical,rds,P0 - CRITICAL,114.0,meta/llama-3.1-8b-instruct,NVIDIA NIM,AWS-RDS-01,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.512,hybrid,"RDS instances are exposed to the public internet, increasing the risk of unauthorized access and exploitation.
Update the RDS instance [PROJECT_RESOURCE_NAME_001] to not be publicly accessible by setting the publicly_accessible parameter to False in the RDS instance configuration.",embedding,"sim=0.5815 (threshold=0.55, PASS)",YES,"db_instance_identifier=[PROJECT_RESOURCE_NAME_001], publicly_accessible=True, vpc_id=[VPC_ID_001]"
FND-0464,AWS,RDS Instance Publicly Accessible,high,rds,P1 - HIGH,90.0,meta/llama-3.1-8b-instruct,NVIDIA NIM,AWS-RDS-01,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.517,hybrid,"RDS instance is exposed to the public internet, making it vulnerable to unauthorized access and exploitation.
Change the RDS instance's PubliclyAccessible attribute to False in the AWS Management Console or using the AWS CLI command 'aws rds modify-db-instance --publicly-accessible false'.",embedding,"sim=0.5706 (threshold=0.55, PASS)",YES,rds.regions.ap-south-1.vpcs.[VPC_ID_001].instances.scoutid-[AWS_SECRET_KEY_001].PubliclyAccessible
FND-0061,AWS,IAM inline policy does not allow privilege escalation,high,iam,P1 - HIGH,90.0,meta/llama-3.1-8b-instruct,NVIDIA NIM,AWS-IAM-02,AWS Well-Architected Framework — Security Pillar,https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html,0.352,hybrid,"The IAM inline policy attached to the role allows privilege escalation by granting excessive permissions, which can lead to unintended access and potential security risks.
To remediate this issue, update the IAM inline policy to only include the specific actions and resources required by the workload, and avoid granting broad permissions such as 'iam:*' and 'iam:PassRole'.",embedding,"sim=0.5634 (threshold=0.55, PASS)",YES,"Inline policy [PROJECT_RESOURCE_NAME_002] attached to role [PROJECT_RESOURCE_NAME_003] allows privilege escalation using the following actions: 'apprunner:CreateService', 'apprunner:UpdateService', 'autoscaling:CreateAutoScalingGroup', 'autoscaling:CreateLaunchConfiguration', 'autoscaling:UpdateAutoScalingGroup', 'bedrock-agentcore:ConnectBrowserAutomationStream', 'bedrock-agentcore:CreateAgentRuntime', 'bedrock-agentcore:CreateAgentRuntimeEndpoint', 'bedrock-agentcore:CreateBrowser', 'bedrock-agentcore:CreateCodeInterpreter', 'bedrock-agentcore:CreateHarness', 'bedrock-agentcore:CreateWorkloadIdentity', 'bedrock-agentcore:GetAgentRuntime', 'bedrock-agentcore:InvokeAgentRuntimeCommand', 'bedrock-agentcore:InvokeCodeInterpreter', 'bedrock-agentcore:StartBrowserSession', 'bedrock-agentcore:StartCodeInterpreterSession', 'cloudformation:CreateChangeSet', 'cloudformation:CreateStack', 'cloudformation:CreateStackInstances', 'cloudformation:CreateStackSet', 'cloudformation:ExecuteChangeSet', 'cloudformation:UpdateStack', 'cloudformation:UpdateStackSet', 'codebuild:CreateProject', 'codebuild:StartBuild', 'codebuild:StartBuildBatch', 'codestar:CreateProject', 'datapipeline:ActivatePipeline', 'datapipeline:CreatePipeline', 'datapipeline:PutPipelineDefinition', 'dynamodb:CreateTable', 'dynamodb:PutItem', 'ec2-instance-connect:SendSSHPublicKey', 'ec2:CreateLaunchTemplateVersion', 'ec2:DescribeInstances', 'ec2:ModifyInstanceAttribute', 'ec2:ModifyLaunchTemplate', 'ec2:RequestSpotInstances', 'ec2:RunInstances', 'ec2:StartInstances', 'ec2:StopInstances', 'ecs:CreateService', 'ecs:DeregisterContainerInstance', 'ecs:DescribeTasks', 'ecs:ExecuteCommand', 'ecs:RegisterContainerInstance', 'ecs:RegisterTaskDefinition', 'ecs:RunTask', 'ecs:StartTask', 'glue:CreateDevEndpoint', 'glue:CreateJob', 'glue:CreateTrigger', 'glue:StartJobRun', 'glue:UpdateDevEndpoint', 'glue:UpdateJob', 'iam:*', 'iam:AddUserToGroup', 'iam:AttachGroupPolicy', 'iam:AttachRolePolicy', 'iam:AttachUserPolicy', 'iam:CreateAccessKey', 'iam:CreateLoginProfile', 'iam:CreatePolicyVersion', 'iam:DeleteAccessKey', 'iam:PassRole', 'iam:Put*', 'iam:PutGroupPolicy', 'iam:PutRolePolicy', 'iam:PutUserPolicy', 'iam:SetDefaultPolicyVersion', 'iam:UpdateAssumeRolePolicy', 'iam:UpdateLoginProfile', 'lambda:AddPermission', 'lambda:CreateEventSourceMapping', 'lambda:CreateFunction', 'lambda:InvokeFunction', 'lambda:UpdateFunctionCode', 'lambda:UpdateFunctionConfiguration', 'sagemaker:CreateNotebookInstance', 'sagemaker:CreateNotebookInstanceLifecycleConfig', 'sagemaker:CreatePresignedNotebookInstanceUrl', 'sagemaker:CreateProcessingJob', 'sagemaker:CreateTrainingJob', 'sagemaker:StartNotebookInstance', 'sagemaker:StopNotebookInstance', 'sagemaker:UpdateNotebookInstance', 'ssm:SendCommand', 'ssm:StartSession', 'sts:AssumeRole'."
FND-0315,Azure,SQL Server Firewall Allows All IPs,critical,sql,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,AZ-SQL-01,Microsoft Cloud Security Benchmark,https://learn.microsoft.com/en-us/security/benchmark/azure/,0.454,hybrid,"Azure SQL Database firewall rules should allow access only to specific IP ranges, preventing unrestricted access to the database.
Update the Azure SQL Database firewall rule to restrict access to the specific IP range by editing the rule 'MISCONFIG-AllowAllIPs' and replacing the current IP range with the allowed IP range.",embedding,"sim=0.6383 (threshold=0.55, PASS)",YES,"firewall_rule=MISCONFIG-AllowAllIPs, range=[IPV4_ADDRESS_001]-[IPV4_ADDRESS_002]"
FND-0040,AWS,EC2 instance does not allow ingress from the Internet to TCP port 22 (SSH),critical,ec2,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,AWS-EC2-03,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.452,hybrid,"SSH access to the EC2 instance is exposed to the entire internet, posing a significant risk to the security of the instance and the data it contains.
To remediate this issue, update the security group rule for the public subnet to only allow SSH traffic from a specific known IP address or a VPN CIDR range, and ensure that the bastion host is configured to allow SSH access to the instance.",embedding,"sim=0.6066 (threshold=0.55, PASS)",YES,Instance [INSTANCE_ID_001] has SSH exposed to 0.0.0.0/0 on public IP address [IPV4_ADDRESS_003] in public subnet [SUBNET_ID_001].
FND-0260,Azure,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,critical,sqlserver,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,AZ-SQL-01,Microsoft Cloud Security Benchmark,https://learn.microsoft.com/en-us/security/benchmark/azure/,0.523,hybrid,"Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255, which could allow unauthorized access to the database.
Update the Azure SQL Server firewall rules to only allow specific IP ranges, removing the 0.0.0.0-255.255.255.255 rule and replacing it with rules that only allow the necessary IP addresses.",embedding,"sim=0.6149 (threshold=0.55, PASS)",YES,SQL Server sql-[PROJECT_RESOURCE_NAME_004] from subscription Azure subscription 1 ([AZURE_SUBSCRIPTION_ID_001]) has firewall rules allowing [IPV4_ADDRESS_001]-[IPV4_ADDRESS_002].
FND-0178,Azure,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,critical,sqlserver,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,AZ-SQL-01,Microsoft Cloud Security Benchmark,https://learn.microsoft.com/en-us/security/benchmark/azure/,0.523,hybrid,"Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255
Update Azure SQL Server firewall rules to restrict access to specific IP ranges, such as the IP addresses [IPV4_ADDRESS_001]-[IPV4_ADDRESS_002], and remove the 0.0.0.0-255.255.255.255 rule.",embedding,"sim=0.5695 (threshold=0.55, PASS)",YES,SQL Server sql-[PROJECT_RESOURCE_NAME_005] from subscription Azure subscription 1 ([AZURE_SUBSCRIPTION_ID_001]) has firewall rules allowing [IPV4_ADDRESS_001]-[IPV4_ADDRESS_002].
FND-0299,AWS,Security Group Allows MySQL (3306) from 0.0.0.0/0,critical,ec2,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,AWS-EC2-03,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.389,hybrid,"MySQL traffic from 0.0.0.0/0 is unrestricted, posing a significant risk to the database.
Update the security group to restrict inbound MySQL (3306) traffic to specific known IP addresses or a VPN CIDR range, and remove the 0.0.0.0/0 rule.",embedding,"sim=0.5649 (threshold=0.55, PASS)",YES,"group_name=[PROJECT_RESOURCE_NAME_006], group_id=[SECURITY_GROUP_ID_001], from_port=3306, to_port=3306, ip_ranges=[{""CidrIp"":""0.0.0.0/0"",""Description"":null}]"
FND-0097,AWS,RDS instance is not publicly exposed to the Internet,critical,rds,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,AWS-RDS-01,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.521,hybrid,"RDS instance is publicly exposed to the Internet, making it vulnerable to unauthorized access and exploitation.
Change the RDS instance's public accessibility setting to 'No' and update the security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) to restrict access to the mysql port 3306 only from trusted IP addresses or within the VPC.",embedding,"sim=0.5632 (threshold=0.55, PASS)",YES,RDS Instance [PROJECT_RESOURCE_NAME_001] is set as publicly accessible and security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) has mysql port 3306 open to the Internet at endpoint [RDS_ENDPOINT_001] in a public subnet [SUBNET_ID_002].
FND-0052,AWS,Security group does not allow ingress from 0.0.0.0/0 or ::/0 to MySQL port 3306,high,ec2,P1 - HIGH,67.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,AWS-EC2-03,CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.405,hybrid,"MySQL port 3306 is exposed to the internet, allowing unauthorized access to the database.
Edit the security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) to restrict ingress to MySQL port 3306 from specific known IP addresses or a VPN CIDR range.",embedding,"sim=0.5020 (threshold=0.55, FAIL)",REVIEW,Security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) has MySQL port 3306 open to the Internet.
